DV,A,B,C,S,I
493,2,2,2,14,5
674,2,2,2,14,12
529,2,1,1,14,36
541,1,1,1,14,90
507,1,2,2,14,99
627,1,2,1,14,33
550,2,1,2,14,100
522,2,1,2,14,58
706,2,2,2,14,105
587,2,2,1,14,74
483,1,1,1,14,110
562,1,1,1,14,101
620,1,1,2,14,59
475,2,1,1,14,78
445,2,1,1,14,95
551,1,1,2,14,43
643,1,2,1,14,34
618,1,1,1,14,61
971,2,2,2,14,114
554,2,1,2,14,104
423,1,1,1,14,106
709,1,2,2,14,21
535,2,2,2,14,3
595,1,2,2,14,57
596,1,2,1,14,32
530,1,1,1,14,26
583,2,2,2,14,62
1030,2,2,2,14,112
719,2,1,2,14,2
509,1,2,1,14,107
667,2,1,2,22,98
824,2,1,2,22,104
729,2,2,1,22,19
611,1,2,1,22,60
775,2,1,2,22,27
518,1,2,2,22,10
771,2,1,1,22,91
479,1,1,2,22,43
600,2,2,1,22,46
883,1,2,2,22,57
635,2,2,2,22,63
514,1,2,1,22,32
457,1,1,1,22,106
504,1,1,1,22,45
499,2,2,2,22,18
537,1,1,2,22,73
536,1,1,2,22,9
589,2,2,2,22,3
775,1,2,2,22,37
582,1,2,1,22,108
461,1,1,1,22,103
541,1,2,1,22,50
532,2,2,1,22,29
629,1,2,1,22,66
543,2,2,1,22,1
574,2,2,1,22,96
542,1,1,1,22,54
576,2,1,2,22,2
1148,2,1,1,22,77
641,1,1,1,22,65
504,1,2,2,22,68
542,1,2,1,22,24
748,2,2,1,22,81
949,2,2,2,22,109
812,2,1,1,22,88
508,1,2,1,22,117
695,2,2,2,22,62
515,1,1,2,22,76
440,1,1,2,22,41
508,2,1,2,22,64
860,2,1,2,22,100
436,1,2,1,22,4
628,2,2,1,22,42
482,1,2,2,22,44
425,1,2,2,22,48
411,1,1,2,22,17
515,1,1,2,22,59
556,2,1,2,22,69
531,2,1,2,22,102
483,1,1,1,22,30
523,1,1,1,22,23
592,1,2,1,22,34
576,1,2,2,22,11
845,2,2,2,22,5
786,2,2,2,22,105
618,2,2,1,22,118
599,1,2,2,22,56
622,2,2,2,22,111
640,2,1,1,22,8
565,1,2,1,22,107
522,1,1,1,22,14
676,2,2,1,22,53
527,2,2,2,22,112
883,2,1,1,22,95
631,2,1,1,22,36
553,2,1,2,22,38
597,2,2,2,22,39
550,1,1,1,22,110
